,product_name,brand_name,offer_description,retailer_name,valid_from,valid_to,price,quantity,categories,image,Coicop5_Final,Coicop4_Final,Coicop3_Final,Coicop2_Final,Predicted_COICOP_5_Category,Predicted_COICOP_4_Category,Predicted_COICOP_3_Category,Predicted_COICOP_2_Category
18792,Popcorn,Chio,Süß oder Toffee Karamell 120-g-Packung,Treff 3000,2018-02-18 23:00:00.0,2018-02-24 22:59:00.0,0.89,1,Popcorn Knabberartikel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3592116/images/default/0/msmall.jpg,01118,0111,011,01,nan,nan,nan,nan
368180,Bio-Rahmspinat,Alnatura,tiefgefroren 450 g Packung,EDEKA,2019-08-11 22:00:00.0,2019-08-17 21:59:00.0,1.29,1,Tiefkühlgemüse Tiefkühlkost Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/5542900/images/default/0/msmall.jpg,01172,0117,011,01,nan,nan,nan,nan
59470,Haferflocken,Kölln,"verschiedene Sorten, 500-g-Packung",EDEKA Neukauf,2018-04-15 22:00:00.0,2018-04-21 21:59:00.0,0.99,1,Müslimischungen Müsli & Cerealien Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3873203/images/default/0/msmall.jpg,01117,0111,011,01,nan,nan,nan,nan
51035,Nesquik,Nestlé,550g NF-Beutel,EDEKA Neukauf,2018-04-02 22:00:00.0,2018-04-07 21:59:00.0,1.59,1,Kakao Alkoholfreie Getränke Getränke,https://mg2de.b-cdn.net/api/v1/offers/3813178/images/default/0/msmall.jpg,01213,0121,012,01,nan,nan,nan,nan
367527,Comtess Kuchen,Bahlsen,verschiedene Sorten 350 g Packung,EDEKA,2019-08-11 22:00:00.0,2019-08-17 21:59:00.0,1.39,1,Kuchen Brot & Backwaren Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/5539539/images/default/0/msmall.jpg,01114,0111,011,01,nan,nan,nan,nan
13558,Garnelen-Chips,Shoi,Knusprige Knabberei & exotische Beilage zu fernöstlichen Gerichten 80 g Packung,EDEKA,2018-02-11 23:00:00.0,2018-02-17 22:59:00.0,0.89,1,Chips Knabberartikel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3554378/images/default/0/msmall.jpg,01136,0113,011,01,nan,nan,nan,nan
5221,Roastbeef,not_available,1kg,REWE,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,46.9,1,Rindfleisch Fleisch Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3488611/images/default/0/msmall.jpg,01121,0112,011,01,nan,nan,nan,nan
153338,Pflaumen,Edeka,1kg,EDEKA Paschmann,2018-08-19 22:00:00.0,2018-08-25 21:59:00.0,2.22,1,Trockenobst Trockenobst Trockenobst Trockenobst Obst Obst Obst Obst Obst & Gemüse Obst & Gemuese Obst&Gemüse Obst&Gemuese Lebensmittel Lebensmittel Lebensmittel Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/4405712/images/default/0/msmall.jpg,01161,0116,011,01,nan,nan,nan,nan
214009,Wildschweinkeulenbraten,not_available,100g,EDEKA Paschmann,2018-11-25 23:00:00.0,2018-12-01 22:59:00.0,1.39,1,Wildfleisch Fleisch Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/4737292/images/default/0/msmall.jpg,01125,0112,011,01,nan,nan,nan,nan
201765,Blätterteig,Gut & Günstig,"6 Scheiben, einzeln entnehmbar, zum Selberformen und Fertigbacken gefroren 450g Packung",EDEKA Center,2018-11-04 23:00:00.0,2018-11-10 22:59:00.0,0.99,1,Tiefkühlbackwaren Tiefkühlkost Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/4668364/images/default/0/msmall.jpg,01118,0111,011,01,nan,nan,nan,nan
368778,Bio Classic & Mandel,Alnatura,440 ml Packung,EDEKA,2019-08-11 22:00:00.0,2019-08-17 21:59:00.0,4.99,1,Eis Tiefkühlkost Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/5546823/images/default/0/msmall.jpg,01185,0118,011,01,nan,nan,nan,nan
52752,Rinderbeinscheibe,not_available,1 kg,CAP MARKT,2018-04-08 22:00:00.0,2018-04-14 21:59:00.0,5.99,1,Tiefkühlfleisch Tiefkühlkost Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3823304/images/default/0/msmall.jpg,01121,0112,011,01,nan,nan,nan,nan
8486,Spießbratenwurst,not_available,100 g,REWE,2018-02-04 23:00:00.0,2018-02-10 22:59:00.0,1.19,1,Würste Wurst Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3515069/images/default/0/msmall.jpg,01127,0112,011,01,nan,nan,nan,nan
14590,Backfisch,Edeka,250 g,EDEKA Paschmann,2018-02-11 23:00:00.0,2018-02-17 22:59:00.0,2.79,1,Tiefkühlfisch Tiefkühlkost Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3564353/images/default/0/msmall.jpg,01136,0113,011,01,nan,nan,nan,nan
73762,Weissbier Alkoholfrei,Franziskaner,"versch. Sorten, je Packung = 6 x 0,33l., zzgl. 0.48 Pfand",EDEKA Paschmann,2018-05-13 22:00:00.0,2018-05-19 21:59:00.0,3.99,6,Alkoholfreies Bier Alkoholfreie Getränke Getränke,https://mg2de.b-cdn.net/api/v1/offers/3972561/images/default/0/msmall.jpg,02133,0213,021,02,nan,nan,nan,nan
1681,Schweine-Schulter-Krustenbraten,not_available,ohne Knochen 100g,EDEKA Neukauf,2018-01-28 23:00:00.0,2018-02-03 22:59:00.0,0.49,1,Schweinefleisch Fleisch Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3465105/images/default/0/msmall.jpg,01122,0112,011,01,nan,nan,nan,nan
6277,Pasta,Barilla,500 g Packung,CAP MARKT,2018-02-04 23:00:00.0,2018-02-10 22:59:00.0,0.77,1,Nudeln Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/3502447/images/default/0/msmall.jpg,01116,0111,011,01,nan,nan,nan,nan
238625,Hähnchenbrustfilet,not_available,1 kg,EDEKA Center,2019-01-13 23:00:00.0,2019-01-19 22:59:00.0,5.55,1,Geflügel Fleisch Lebensmittel,https://mg2de.b-cdn.net/api/v1/offers/4878017/images/default/0/msmall.jpg,01124,0112,011,01,nan,nan,nan,nan
